nom|codeDepartement|nomRegion|populationTotale
Bourg-en-Bresse|84|Auvergne-Rhône-Alpes|43454
Laon|32|Hauts-de-France|26031
Saint-Quentin|32|Hauts-de-France|55940
Soissons|32|Hauts-de-France|29417
Montluçon|84|Auvergne-Rhône-Alpes|37417
Gap|93|Provence-Alpes-Côte d'Azur|42567
Antibes|93|Provence-Alpes-Côte d'Azur|74982
Cagnes-sur-Mer|93|Provence-Alpes-Côte d'Azur|50385
Cannes|93|Provence-Alpes-Côte d'Azur|75046
Le Cannet|93|Provence-Alpes-Côte d'Azur|42056
Grasse|93|Provence-Alpes-Côte d'Azur|51705
Menton|93|Provence-Alpes-Côte d'Azur|28942
Nice|93|Provence-Alpes-Côte d'Azur|345998
Saint-Laurent-du-Var|93|Provence-Alpes-Côte d'Azur|28831
Vallauris|93|Provence-Alpes-Côte d'Azur|26787
Charleville-Mézières|44|Grand Est|48420
Troyes|44|Grand Est|61988
Carcassonne|76|Occitanie|47418
Narbonne|76|Occitanie|55001
Rodez|76|Occitanie|25747
Aix-en-Provence|93|Provence-Alpes-Côte d'Azur|146385
Arles|93|Provence-Alpes-Côte d'Azur|53807
Aubagne|93|Provence-Alpes-Côte d'Azur|45711
La Ciotat|93|Provence-Alpes-Côte d'Azur|35758
Istres|93|Provence-Alpes-Côte d'Azur|44248
Marignane|93|Provence-Alpes-Côte d'Azur|33949
Marseille|93|Provence-Alpes-Côte d'Azur|870018
Martigues|93|Provence-Alpes-Côte d'Azur|49310
Miramas|93|Provence-Alpes-Côte d'Azur|26217
Salon-de-Provence|93|Provence-Alpes-Côte d'Azur|46225
Vitrolles|93|Provence-Alpes-Côte d'Azur|34301
Caen|28|Normandie|108461
Aurillac|84|Auvergne-Rhône-Alpes|27659
Angoulême|75|Nouvelle-Aquitaine|44629
La Rochelle|75|Nouvelle-Aquitaine|78623
Saintes|75|Nouvelle-Aquitaine|26890
Bourges|24|Centre-Val de Loire|67841
Vierzon|24|Centre-Val de Loire|27036
Brive-la-Gaillarde|75|Nouvelle-Aquitaine|48333
Ajaccio|94|Corse|70063
Bastia|94|Corse|45596
Dijon|27|Bourgogne-Franche-Comté|159031
Saint-Brieuc|53|Bretagne|47058
Bergerac|75|Nouvelle-Aquitaine|28166
Périgueux|75|Nouvelle-Aquitaine|31505
Besançon|27|Bourgogne-Franche-Comté|120107
Montbéliard|27|Bourgogne-Franche-Comté|26015
Montélimar|84|Auvergne-Rhône-Alpes|39924
Romans-sur-Isère|84|Auvergne-Rhône-Alpes|34095
Valence|84|Auvergne-Rhône-Alpes|64322
Évreux|28|Normandie|51560
Chartres|24|Centre-Val de Loire|40195
Dreux|24|Centre-Val de Loire|31575
Brest|53|Bretagne|142629
Quimper|53|Bretagne|66743
Alès|76|Occitanie|41129
Nîmes|76|Occitanie|154196
Colomiers|76|Occitanie|39200
Muret|76|Occitanie|25961
Toulouse|76|Occitanie|482738
Tournefeuille|76|Occitanie|27008
Bègles|75|Nouvelle-Aquitaine|28092
Bordeaux|75|Nouvelle-Aquitaine|256045
Gradignan|75|Nouvelle-Aquitaine|26029
Libourne|75|Nouvelle-Aquitaine|25491
Mérignac|75|Nouvelle-Aquitaine|71203
Pessac|75|Nouvelle-Aquitaine|62737
Saint-Médard-en-Jalles|75|Nouvelle-Aquitaine|31576
Talence|75|Nouvelle-Aquitaine|44040
La Teste-de-Buch|75|Nouvelle-Aquitaine|26525
Villenave-d'Ornon|75|Nouvelle-Aquitaine|33091
Agde|76|Occitanie|28120
Béziers|76|Occitanie|77894
Lunel|76|Occitanie|26263
Montpellier|76|Occitanie|286098
Sète|76|Occitanie|44271
Rennes|53|Bretagne|222104
Saint-Malo|53|Bretagne|47528
Châteauroux|24|Centre-Val de Loire|45780
Joué-lès-Tours|24|Centre-Val de Loire|37974
Tours|24|Centre-Val de Loire|139963
Bourgoin-Jallieu|84|Auvergne-Rhône-Alpes|28399
Échirolles|84|Auvergne-Rhône-Alpes|36143
Grenoble|84|Auvergne-Rhône-Alpes|160836
Saint-Martin-d'Hères|84|Auvergne-Rhône-Alpes|38974
Vienne|84|Auvergne-Rhône-Alpes|30178
Mont-de-Marsan|75|Nouvelle-Aquitaine|31517
Blois|24|Centre-Val de Loire|47524
Roanne|84|Auvergne-Rhône-Alpes|35913
Saint-Chamond|84|Auvergne-Rhône-Alpes|35969
Saint-Étienne|84|Auvergne-Rhône-Alpes|174298
Nantes|52|Pays de la Loire|314611
Orvault|52|Pays de la Loire|26618
Rezé|52|Pays de la Loire|41808
Saint-Herblain|52|Pays de la Loire|47502
Saint-Nazaire|52|Pays de la Loire|72295
Saint-Sébastien-sur-Loire|52|Pays de la Loire|27591
Orléans|24|Centre-Val de Loire|118102
Agen|75|Nouvelle-Aquitaine|34565
Angers|52|Pays de la Loire|155543
Cholet|52|Pays de la Loire|55772
Saumur|52|Pays de la Loire|28554
Sèvremoine|52|Pays de la Loire|26239
Cherbourg-en-Cotentin|28|Normandie|82578
Châlons-en-Champagne|44|Grand Est|46288
Reims|44|Grand Est|187074
Saint-Dizier|44|Grand Est|25666
Laval|52|Pays de la Loire|52359
Nancy|44|Grand Est|106953
Vandœuvre-lès-Nancy|44|Grand Est|30502
Lorient|53|Bretagne|58789
Vannes|53|Bretagne|55573
Metz|44|Grand Est|119856
Thionville|44|Grand Est|41396
Nevers|27|Bourgogne-Franche-Comté|34799
Armentières|32|Hauts-de-France|25373
Cambrai|32|Hauts-de-France|33349
Douai|32|Hauts-de-France|40860
Dunkerque|32|Hauts-de-France|89485
Lambersart|32|Hauts-de-France|28027
Lille|32|Hauts-de-France|236782
